model,MAE,RMSE
Lasso(0.001),0.04086195770307373,0.05424100083809607
"ElasticNet(0.001,0.5)",0.040790957992283015,0.05424395352364532
Ridge(1.0),0.04073322235309751,0.054276853854034024
OLS,0.040733171982240274,0.054277098493754845
Huber,0.0396691691082365,0.055085732634247195
